Title,Short_Title,Location,Java,Min Experience,Max Experience,Min Salary,Max Salary,Spring Boot,SQL,Git,Microservices,Hibernate,Power_BI,Excel,Python,Visualization,spark,Cloud_Computing,manual_testing,regression_testing,automation_testing,software_testing,Kubernetes,Docker,Jenkins,CI/CD
Java Developer,Java,NA,1,5,7,22.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDE I -Java,Java,NA,1,1,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Backend Java Developer,Java,Gurugram,1,1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Tech Lead,Java,Pune,1,8,13,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Java Professional,Java,Pune,1,4,9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FX IT Java Engineer,Java,Pune,1,13,18,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java FullStack Developer,Java,Pune,1,4,10,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Pune,1,4,6,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr Java Developer,Java,Pune,1,5,7,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Application Developer (Java/Cloud/Oracle) Associate,Java,Pune,1,3,7,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
"Java Developer, AS",Java,Pune,1,3,7,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Java Backend - Senior Engineer,Java,Pune,1,3,6,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Java Full Stack Developer,Java,Pune,1,10,15,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Senior Technical Lead (Core Java),Java,Pune,1,8,12,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Full Stack Java Developer,Java,NA,1,1,3,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer,Java,NA,1,2,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer,Java,NA,1,2,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Java Developer (with Python),Java,NA,1,4,8,,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Java AWS Fullstack Developer,Java,NA,1,4,6,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,Java,NA,1,7,9,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Analyst, Java Backend Developer",Java,Chennai,1,2,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Senior Java Developer (with Python),Java,NA,1,4,7,,,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Java Developer,Java,NA,1,2,5,8,10,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jr Java JSP Developer,Java,Mumbai,1,4,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr Java JSP Developer,Java,Mumbai,1,8,10,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,Java,Mumbai,1,8,10,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Lead,Java,Mumbai,1,10,14,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java JSP Lead,Java,Mumbai,1,10,14,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Test Engineer - Selenium + Java Job,Java,NA,1,4,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lead Software Engineer - Java, React Fullstack Developer",Java,NA,1,5,10,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Full Stack Java Developer - Isarva Infotech Private Limited,Java,NA,1,8,13,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Hyderabad,1,6,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Java Senior Software Developer,Java,NA,1,3,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Technical Manager, Java Backend Developer",Java,Chennai,1,4,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Technical Lead, Java Backend Developer",Java,Chennai,1,4,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Manager - Java Backend Developer,Java,Chennai,1,4,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Lead, Java Backend Developer",Java,Chennai,1,2,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"An&apos;yst, Java Backend Developer",Java,Chennai,1,2,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Java Architect,Java,NA,1,14,18,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Full Stack Developer,Java,Hyderabad,1,3,8,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech Lead - Java | Baner Pune |,Java,Pune,1,6,8,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Full Stack Developer - backend,Java,Mumbai,1,3,6,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer,Java,Delhi,1,4,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr Software Engineer,Java,Pune,1,4,7,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Senior Associate Level 1,Java,Pune,1,2,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Associate Level 1,Java,Pune,1,2,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Advisory Software Engineer,Java,NA,1,1,4,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Java Consultant - Microservices & Core Banking,Java,Hyderabad,1,3,5,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer with ReactJS,Java,NA,1,3,5,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Stack Developer-PLSQL /Java,Java,Hyderabad,1,3,7,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Microservices Developer - Core Banking,Java,Hyderabad,1,6,11,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer,Java,Hyderabad,1,3,5,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Stack Developer PLSQL/Java,Java,Hyderabad,1,3,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Software Developer -Java/Microservice/Angular,Java,Chennai,1,8,10,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senior Java Hibernate Spring boot Specialist,Java,Mumbai,1,3,5,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Technical Manager-Core Banking,Java,Hyderabad,1,10,14,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Full stack developer - UI, Java",Java,NA,1,6,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Full Stack Developer-Java/PLSQL,Java,Hyderabad,1,6,10,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Principal Consultant-Java/PLSQL,Java,Hyderabad,1,3,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Principal Consultant - PLSQL /Java,Java,Hyderabad,1,6,10,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Java Application Developer with Microservices and Core Banking,Java,Mumbai,1,3,5,,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Senior Java Developer with AWS,Java,Mumbai,1,6,10,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Software Engineer - Java,Java,Hyderabad,1,3,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Software Engineer, Senior - Java",Java,Hyderabad,1,2,6,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sr. Software Engineer - Java Alfresco,Java,NA,1,5,8,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senior Associate Level 1,Java,Pune,1,2,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Advisory Software Engineer,Java,NA,1,1,4,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Java Consultant - Microservices & Core Banking,Java,Hyderabad,1,3,5,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer with ReactJS,Java,NA,1,3,5,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Stack Developer-PLSQL /Java,Java,Hyderabad,1,3,7,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Microservices Developer - Core Banking,Java,Hyderabad,1,6,11,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer,Java,Hyderabad,1,3,5,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full Stack Developer PLSQL/Java,Java,Hyderabad,1,3,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Software Developer -Java/Microservice/Angular,Java,Chennai,1,8,10,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senior Java Hibernate Spring boot Specialist,Java,Mumbai,1,3,5,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Technical Manager-Core Banking,Java,Hyderabad,1,10,14,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Full stack developer - UI, Java",Java,NA,1,6,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Full Stack Developer-Java/PLSQL,Java,Hyderabad,1,6,10,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Principal Consultant-Java/PLSQL,Java,Hyderabad,1,3,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Principal Consultant - PLSQL /Java,Java,Hyderabad,1,6,10,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Java Application Developer with Microservices and Core Banking,Java,Mumbai,1,3,5,,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Senior Java Developer with AWS,Java,Mumbai,1,6,10,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Software Engineer - Java,Java,Hyderabad,1,3,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Software Engineer, Senior - Java",Java,Hyderabad,1,2,6,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sr. Software Engineer - Java Alfresco,Java,NA,1,5,8,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senior Java Developer,Java,NA,1,4,6,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Java Developer,Java,NA,1,4,6,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Springboot Specialist,Java,Gurugram,1,12,15,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senior Java Developer,Java,NA,1,7,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Java Fullstack Engineer GIT,Java,Gurugram,1,14,22,40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Camunda Developer,Java,NA,1,4,7,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Senior Software Engineer (Java),Java,NA,1,4,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java Camunda Lead,Java,NA,1,8,10,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Java Full stack developer,Java,NA,1,8,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,Java,NA,1,5,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java developer || 10th May virtual drive,Java,Hyderabad,1,6,11,7,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Project Manager,Java,NA,1,8,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java + Springboot Lead,Java,NA,1,5,8,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Project Manager,Java,Hyderabad,1,8,10,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Hyderabad,1,4,9,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Azure Fullstack Developer,Java,NA,1,5,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,NA,1,2,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Fullstack (React) Developer (Standard),Java,NA,1,4,6,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,NA,1,2,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Chennai,1,3,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full stack Developer,Java,NA,1,4,7,20,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Java Developer,Java,Pune,1,1,3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Senior Java Developer,Java,Hyderabad,1,8,13,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Camunda Developer with java,Java,Mumbai,1,8,10,15,25,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Automation Test Engineer - Java/Selenium,Java,Hyderabad,1,5,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Technical Lead - Java/Full Stack Development,Java,Hyderabad,1,5,7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer - Spring Boot Frameworks,Java,Hyderabad,1,3,7,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer - AngularJS/Spring Boot,Java,Hyderabad,1,5,7,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer - GCP,Java,Chennai,1,3,5,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer - JLP2 - N2 or N3 Certified consultant,Java,NA,1,6,10,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer - Spring/Hibernate,Java,NA,1,4,6,,,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
"Java Developer (Java, Spring Boot, Microservices)",Java,Hyderabad,1,5,7,,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java DB - Engineer,Java,NA,1,3,7,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Professional,Java,Kolkata,1,4,9,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
java React AWS Developer,Java,Hyderabad,1,3,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer (Intermediate),Java,NA,1,4,7,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Developers,Java,Chennai,1,3,7,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Full Stack Developer,Java,NA,1,10,15,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Java Architect,Java,NA,1,10,20,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java JSP Developer,Java,NA,1,3,5,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java JSP Developer,Java,Mumbai,1,3,5,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java Developer,Java,Gurugram,1,3,5,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scala Developer,Java,Hyderabad,1,3,8,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Scala Developer,Java,NA,1,3,8,,,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Application Developer-Microsoft Cloud,Java,NA,0,3,7,,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Java Developer,Java,Pune,1,1,5,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Software Engineer - C++ | Baner Pune |,Java,Pune,0,1,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java Lead,Java,Hyderabad,1,12,16,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Senior Java Developer & Support Analyst (OIDC Authentication),Java,NA,1,6,8,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,Java,NA,1,6,11,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java FullStack Lead,Java,Hyderabad,1,10,15,,,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Acitmize / Java Developer - Backend Architecture,Java,Delhi,1,5,10,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Developer,Java,Chennai,1,5,10,15,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Senior Java Developer,Java,Gurugram,1,4,6,10,13,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,NA,1,3,5,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer - Hyderabad,Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Pune,1,8,13,18,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java developer,Java,Pune,1,8,12,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java/Camunda Developer,Java,Pune,1,5,8,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer -(F2F Interview-17th May),Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer,Java,Pune,1,8,10,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Java Full Stack Developer - Contract,Java,Pune,1,3,8,6,16,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Developers ( Java ),Java,NA,1,1,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Fullstack Developer,Java,NA,1,1,4,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Software Engineer- Java,Java,Pune,1,4,10,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Java Full Stack Developer,Java,Pune,1,7,12,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer,Java,Pune,1,6,11,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (F2F Interview-May 17th)-H,Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer - Immediate Joiner preferred,Java,Pune,1,3,5,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (F2F Interview-17 May),Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (F2F Interview-17th May),Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java Developer,Java,NA,1,5,10,20,30,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (Kolkatta),Java,Pune,1,3,6,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (Thiruvananthapuram),Java,Pune,1,3,6,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (Chennai),Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (Pune),Java,Pune,1,3,8,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical Manager Java,Java,Pune,1,12,19,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Lead,Java,Pune,1,7,12,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Full Stack Developer || Pune,Java,Pune,1,5,10,14,24,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer with Kafka and API - Lead,Java,Pune,1,8,12,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Lead,Java,Pune,1,11,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,Pune,1,8,11,20,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer (3 To 5 Years) Face To Face Interview,Java,Pune,1,3,5,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Java Developer,Java,NA,1,1,3,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Java Developer,Java,Pune,1,5,10,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
